X, Y, campo
1.9589, 40.1848, 5.71779e-10
2.01909, 40.197, 5.89371e-10
2.10691, 40.2085, 6.09825e-10
2.16657, 40.2233, 6.32645e-10
2.20667, 40.2375, 6.43381e-10
2.26474, 40.2477, 6.63509e-10
2.32167, 40.2627, 6.80617e-10
2.38847, 40.2804, 6.959e-10
2.44063, 40.2933, 7.08283e-10
2.49269, 40.3066, 7.23734e-10
2.56215, 40.3193, 7.4195e-10
2.64368, 40.3414, 7.62834e-10
2.68796, 40.3589, 7.78215e-10
2.74707, 40.3756, 7.94809e-10
2.82151, 40.39, 8.16682e-10
2.85748, 40.4038, 8.34623e-10
2.9176, 40.4173, 8.48632e-10
2.97023, 40.4421, 8.6432e-10
3.02763, 40.4515, 8.81618e-10
3.09353, 40.4726, 9.0407e-10
3.15779, 40.5024, 9.26593e-10
3.21358, 40.5212, 9.51105e-10
3.26973, 40.5389, 9.61864e-10
3.33364, 40.5539, 9.86071e-10
3.37549, 40.5776, 9.96046e-10
3.46573, 40.599, 1.00186e-09
3.51617, 40.6178, 1.00858e-09
3.57112, 40.6426, 1.0191e-09
3.61468, 40.6578, 1.03409e-09
3.67719, 40.6912, 1.04936e-09
3.73477, 40.7126, 1.06495e-09
3.78405, 40.7341, 1.07426e-09
3.83847, 40.7565, 1.0825e-09
3.89041, 40.7782, 1.09051e-09
3.97934, 40.8047, 1.09666e-09
4.02866, 40.8262, 1.10232e-09
4.08215, 40.854, 1.10935e-09
4.12481, 40.8716, 1.11973e-09
4.18539, 40.9084, 1.13145e-09
4.25953, 40.9311, 1.14139e-09
4.29907, 40.9524, 1.15223e-09
4.35203, 40.9869, 1.16372e-09
4.40036, 41.0104, 1.17149e-09
4.46001, 41.0399, 1.1815e-09
4.50807, 41.0639, 1.1899e-09
4.55827, 41.0894, 1.20066e-09
4.61579, 41.1175, 1.20683e-09
4.69648, 41.1537, 1.21458e-09
4.74984, 41.1843, 1.2339e-09
4.79198, 41.2086, 1.24059e-09
4.83686, 41.2359, 1.25153e-09
4.89206, 41.2683, 1.26177e-09
4.93888, 41.2946, 1.26911e-09
5.01802, 41.3341, 1.27707e-09
5.05434, 41.3532, 1.28123e-09
5.09691, 41.3818, 1.28733e-09
5.15617, 41.4199, 1.29314e-09
5.2301, 41.4584, 1.29361e-09
5.28148, 41.4921, 1.30508e-09
5.31989, 41.5177, 1.30654e-09
5.3644, 41.5502, 1.30828e-09
5.414, 41.5819, 1.31083e-09
5.47253, 41.6116, 1.31586e-09
5.52645, 41.6508, 1.32263e-09
5.57121, 41.6805, 1.32777e-09
5.62107, 41.7188, 1.33614e-09
5.66547, 41.749, 1.34377e-09
5.72856, 41.7928, 1.34926e-09
5.77546, 41.8239, 1.35712e-09
5.82346, 41.858, 1.36535e-09
5.88251, 41.8921, 1.37155e-09
5.9159, 41.9267, 1.3814e-09
5.99631, 41.9729, 1.38183e-09
6.03933, 42.0053, 1.38526e-09
6.08495, 42.0447, 1.39034e-09
6.12239, 42.0717, 1.39713e-09
6.17283, 42.1215, 1.40444e-09
6.22242, 42.1557, 1.40985e-09
6.26307, 42.193, 1.41381e-09
6.32106, 42.2292, 1.40907e-09
6.35249, 42.2655, 1.41699e-09
