  x,     y,   camp
    0.43270E+01,    0.39597E+02,    0.10982E-13
    0.10854E+01,    0.62892E+02,    0.87631E-14
    0.55774E+00,    0.62911E+02,    0.80445E-14
    0.33082E+00,    0.63884E+02,    0.10826E-13
    0.33082E+00,    0.63265E+02,    0.87836E-14
    0.10573E+02,    0.46537E+02,    0.28152E-13
    0.10693E+02,    0.46300E+02,    0.27282E-13
    0.10996E+02,    0.46431E+02,    0.26692E-13
    0.10192E+02,    0.45491E+02,    0.27055E-13
    0.10895E+02,    0.44799E+02,    0.24501E-13
    0.10931E+02,    0.43931E+02,    0.23917E-13
    0.11409E+02,    0.44191E+02,    0.23098E-13
    0.11306E+02,    0.44693E+02,    0.24369E-13
    0.10618E+02,    0.44604E+02,    0.24990E-13
    0.10551E+02,    0.44239E+02,    0.23631E-13
    0.10275E+02,    0.43340E+02,    0.23284E-13
    0.12507E+02,    0.48799E+02,    0.26070E-13
    0.13173E+02,    0.49661E+02,    0.26047E-13
    0.13407E+02,    0.49171E+02,    0.24797E-13
    0.14549E+02,    0.49364E+02,    0.23794E-13
    0.14132E+02,    0.48801E+02,    0.24681E-13
    0.10839E+02,    0.47563E+02,    0.29034E-13
    0.11318E+02,    0.47557E+02,    0.27573E-13
    0.11085E+02,    0.47748E+02,    0.28013E-13
    0.10719E+02,    0.47053E+02,    0.28598E-13
    0.10774E+02,    0.46780E+02,    0.27601E-13
    0.11021E+02,    0.46740E+02,    0.27568E-13
    0.10896E+02,    0.47286E+02,    0.27924E-13
    0.11238E+02,    0.46997E+02,    0.26911E-13
    0.11169E+02,    0.47271E+02,    0.27899E-13
    0.11223E+02,    0.48207E+02,    0.27974E-13
    0.12641E+02,    0.49653E+02,    0.26029E-13
    0.12393E+02,    0.49238E+02,    0.26994E-13
    0.11888E+02,    0.50533E+02,    0.27693E-13
    0.12037E+02,    0.50777E+02,    0.27046E-13
    0.12334E+02,    0.50797E+02,    0.27053E-13
    0.12598E+02,    0.50447E+02,    0.26114E-13
    0.12441E+02,    0.50045E+02,    0.27011E-13
    0.11018E+02,    0.51325E+02,    0.29580E-13
    0.11095E+02,    0.50814E+02,    0.29594E-13
    0.11175E+02,    0.51062E+02,    0.28678E-13
    0.11207E+02,    0.50574E+02,    0.28799E-13
    0.11432E+02,    0.50532E+02,    0.28696E-13
    0.11465E+02,    0.50257E+02,    0.28579E-13
    0.11749E+02,    0.54160E+02,    0.24767E-13
    0.10620E+02,    0.53455E+02,    0.28053E-13
    0.10858E+02,    0.53216E+02,    0.27332E-13
    0.11324E+02,    0.53586E+02,    0.26000E-13
    0.11214E+02,    0.53266E+02,    0.27245E-13
    0.10851E+02,    0.52439E+02,    0.29051E-13
    0.10756E+02,    0.52951E+02,    0.28549E-13
    0.10945E+02,    0.52720E+02,    0.27808E-13
    0.11735E+02,    0.52340E+02,    0.26918E-13
    0.11377E+02,    0.52429E+02,    0.27637E-13
    0.11865E+02,    0.53020E+02,    0.26398E-13
    0.12057E+02,    0.52648E+02,    0.26215E-13
