X, Y, V
3.721, 55.873, nan
4.289, 55.92, nan
6.7, 55.126, nan
6.791, 7.997, nan
4.274, 5.931, nan
6.702, 6.216, nan
4.063, 3.422, nan
5, 0, nan
13.9, 43.067, nan
13.948, 43.939, nan
13.943, 44.761, nan
13.915, 45.553, nan
13.867, 46.296, nan
13.823, 47.018, nan
13.762, 47.73, nan
1.464, 56.545, nan
1.954, 56.506, nan
2.498, 56.481, nan
3.096, 56.468, nan
4.804, 55.649, nan
5.22, 55.624, nan
4.759, 56.021, nan
13.654, 48.513, nan
0, 57.143, nan
7.269, 54.82, nan
1.085, 57.15, nan
5.754, 55.688, nan
6.3, 55.564, nan
6.722, 55.518, nan
14.778, 41.017, nan
14.728, 42.055, nan
14.764, 43.021, nan
14.909, 39.965, nan
13.4, 23.769, nan
13.244, 48.838, nan
14.038, 38.7, nan
14.118, 37.7, nan
5.172, 56.026, nan
5.534, 56.024, nan
11.451, 51.992, nan
10.275, 52.344, nan
10.822, 52.458, nan
11.388, 52.558, nan
13.274, 49.291, nan
13.282, 49.839, nan
12.115, 50.361, nan
12.093, 50.926, nan
12.689, 50.395, nan
13.272, 50.43, nan
12.062, 51.493, nan
12.021, 52.063, nan
9.626, 52.708, nan
9.629, 52.709, nan
9.479, 53.185, nan
9.631, 52.71, nan
10.166, 52.866, nan
9.309, 53.653, nan
14.974, 38.797, nan
7.098, 55.189, nan
9.115, 54.113, nan
8.899, 54.562, nan
13.263, 21.667, nan
13.293, 19.184, nan
12.064, 15.523, nan
13.635, 25.79, nan
14.265, 27.82, nan
14.835, 29.807, nan
14.84, 31.931, nan
14.877, 34.161, nan
14.901, 36.192, nan
15.076, 37.595, nan
12.001, 11.481, nan
9.285, 7.851, nan
11.895, 8.251, nan
8.854, 4.6, nan
10, 0, nan
7.762, 54.748, nan
8.191, 54.835, nan
8.66, 55, nan
3.674, 56.471, nan
4.238, 56.489, nan
4.739, 56.488, nan
7.077, 55.512, nan
14.777, 43.932, nan
14.756, 44.807, nan
14.687, 45.621, nan
14.615, 46.369, nan
14.552, 47.081, nan
14.508, 47.799, nan
14.468, 48.513, nan
1.841, 57.103, nan
2.479, 57.073, nan
3.065, 57.069, nan
3.659, 57.068, nan
5.208, 56.453, nan
13.827, 49.203, nan
14.497, 49.213, nan
7.52, 55.17, nan
7.756, 55.033, nan
7.326, 55.285, nan
1.465, 57.69, nan
1.939, 57.662, nan
5.644, 56.369, nan
6.03, 56.143, nan
6.44, 55.969, nan
6.792, 55.861, nan
7.098, 55.851, nan
15.354, 23.653, nan
15.113, 21.75, nan
15.295, 25.463, nan
0, 58.095, nan
15, 0, nan
0.839, 58.292, nan
1.441, 58.241, nan
15.677, 42.051, nan
15.728, 41.124, nan
15.945, 40.124, nan
15.686, 43.018, nan
15.68, 43.965, nan
16.088, 38.918, nan
7.366, 55.534, nan
7.326, 55.768, nan
11.968, 52.643, nan
10.723, 53.017, nan
11.313, 53.138, nan
11.906, 53.236, nan
13.872, 49.847, nan
13.87, 50.458, nan
12.667, 50.973, nan
12.64, 51.549, nan
13.254, 51.018, nan
13.857, 51.065, nan
12.605, 52.128, nan
12.561, 52.716, nan
9.482, 53.186, nan
9.484, 53.186, nan
9.311, 53.654, nan
10.018, 53.389, nan
10.6, 53.603, nan
9.117, 54.114, nan
16.15, 37.646, nan
8.901, 54.563, nan
8.662, 55.001, nan
16.491, 36.206, nan
16.612, 34.168, nan
16.822, 31.838, nan
16.737, 29.586, nan
16.892, 26.812, nan
14.33, 5.775, nan
15.751, 10.596, nan
16.591, 19.843, nan
16.285, 15.241, nan
17.409, 23.518, nan
8.019, 55.207, nan
8.4, 55.425, nan
8.402, 55.427, nan
4.231, 57.07, nan
4.763, 57.011, nan
5.266, 56.929, nan
15.616, 44.887, nan
15.524, 45.769, nan
15.318, 46.459, nan
15.271, 47.136, nan
15.228, 47.84, nan
15.198, 48.552, nan
15.18, 49.238, nan
2.465, 57.66, nan
3.054, 57.675, nan
3.644, 57.668, nan
14.503, 49.862, nan
15.159, 49.907, nan
7.703, 55.531, nan
1.923, 58.222, nan
2.45, 58.224, nan
6.864, 56.138, nan
6.609, 56.318, nan
6.242, 56.566, nan
5.78, 56.882, nan
7.509, 55.948, nan
7.169, 56.23, nan
20, 0, nan
19.891, 5.201, nan
1.131, 58.791, nan
1.487, 58.776, nan
1.935, 58.741, nan
16.478, 41.214, nan
16.577, 42.036, nan
16.635, 42.999, nan
16.626, 44.01, nan
16.584, 45.027, nan
17.174, 37.851, nan
17.174, 39.015, nan
17.13, 40.525, nan
25, 0, nan
0, 59.048, nan
0.6, 59.158, nan
1.049, 59.306, nan
30, 0, nan
4.252, 57.743, nan
12.512, 53.316, nan
11.217, 53.741, nan
11.84, 53.847, nan
12.456, 53.933, nan
14.493, 50.501, nan
14.472, 51.115, nan
13.232, 51.604, nan
13.204, 52.189, nan
13.837, 51.659, nan
14.456, 51.714, nan
13.173, 52.778, nan
13.137, 53.38, nan
9.313, 53.655, nan
9.835, 53.904, nan
9.12, 54.115, nan
8.903, 54.564, nan
8.665, 55.002, nan
8.404, 55.428, nan
18.724, 29.722, nan
18.788, 31.954, nan
18.598, 34.398, nan
18.067, 36.859, nan
20.307, 10.159, nan
20.552, 14.829, nan
20.697, 19.353, nan
20.868, 23.506, nan
20.414, 27.873, nan
8.119, 55.837, nan
8.121, 55.839, nan
8.123, 55.84, nan
4.831, 57.541, nan
5.281, 57.396, nan
5.632, 57.283, nan
15.909, 46.571, nan
16.405, 46.102, nan
15.926, 47.154, nan
15.936, 47.863, nan
15.903, 48.583, nan
15.869, 49.282, nan
15.829, 49.953, nan
4.007, 58.157, nan
3.599, 58.211, nan
3.016, 58.339, nan
2.374, 58.717, nan
2.74, 58.702, nan
15.131, 50.548, nan
15.787, 50.605, nan
7.818, 56.235, nan
6.867, 56.618, nan
6.511, 56.944, nan
6.137, 57.264, nan
5.804, 57.585, nan
7.498, 56.617, nan
7.159, 56.982, nan
24.914, 5.003, nan
24.918, 9.829, nan
1.494, 59.309, nan
1.947, 59.263, nan
2.404, 59.184, nan
17.498, 41.799, nan
17.625, 42.952, nan
17.667, 44.032, nan
17.607, 45.107, nan
17.484, 46.121, nan
18.403, 38.766, nan
18.487, 40.343, nan
18.637, 41.709, nan
29.737, 4.909, nan
0, 60, nan
0.498, 59.988, nan
0.996, 59.95, nan
1.49, 59.888, nan
35, 0, nan
34.422, 5.074, nan
5.003, 58.044, nan
4.551, 58.271, nan
4.155, 58.536, nan
10.39, 54.259, nan
11.125, 54.378, nan
9.576, 54.311, nan
9.969, 54.487, nan
5.435, 57.818, nan
13.094, 54.003, nan
11.765, 54.48, nan
12.399, 54.57, nan
13.044, 54.645, nan
15.103, 51.173, nan
15.072, 51.775, nan
13.821, 52.244, nan
13.803, 52.829, nan
14.44, 52.296, nan
15.056, 52.349, nan
13.79, 53.43, nan
13.762, 54.053, nan
9.399, 54.743, nan
9.2, 55.211, nan
8.962, 55.695, nan
24.917, 14.507, nan
24.898, 18.992, nan
24.761, 23.278, nan
24.73, 27.274, nan
7.82, 56.236, nan
7.822, 56.238, nan
16.623, 47.04, nan
17.429, 47.04, nan
16.638, 47.855, nan
16.619, 48.611, nan
16.568, 49.325, nan
16.516, 50.006, nan
16.46, 50.664, nan
3.724, 58.708, nan
3.248, 58.874, nan
2.834, 59.082, nan
15.742, 51.238, nan
16.402, 51.31, nan
7.5, 56.619, nan
6.802, 57.331, nan
6.428, 57.66, nan
6.038, 57.971, nan
5.633, 58.262, nan
7.16, 56.984, nan
6.803, 57.332, nan
29.503, 9.648, nan
29.3, 14.221, nan
1.981, 59.802, nan
2.468, 59.691, nan
2.948, 59.556, nan
18.729, 42.91, nan
18.748, 44.064, nan
33.841, 9.599, nan
40, 0, nan
38.902, 5.803, nan
37.649, 9.978, nan
5.214, 58.533, nan
4.783, 58.782, nan
4.339, 59.01, nan
3.884, 59.215, nan
9.891, 54.891, nan
10.443, 54.938, nan
11.071, 55.032, nan
11.708, 55.133, nan
45, 0, nan
50, 0, nan
0, 60.002, nan
0.499, 59.99, nan
0.996, 59.953, nan
1.491, 59.891, nan
1.982, 59.804, nan
8.692, 56.21, nan
8.241, 56.529, nan
21.52, 31.663, nan
24.581, 30.824, nan
20.706, 34.808, nan
19.96, 36.966, nan
19.795, 38.788, nan
19.799, 40.327, nan
19.844, 41.684, nan
19.866, 42.905, nan
18.797, 45.252, nan
18.399, 46.232, nan
18.274, 47.11, nan
3.42, 59.397, nan
13.721, 54.705, nan
12.338, 55.226, nan
12.99, 55.308, nan
13.672, 55.376, nan
15.696, 51.851, nan
15.625, 52.415, nan
14.446, 52.868, nan
15.054, 52.878, nan
15.553, 52.865, nan
14.465, 53.451, nan
14.462, 54.087, nan
14.43, 54.748, nan
9.759, 55.405, nan
9.569, 55.964, nan
29.111, 18.702, nan
29.052, 23.043, nan
28.698, 27.247, nan
28.223, 31.043, nan
7.502, 56.62, nan
7.9, 56.914, nan
17.41, 47.877, nan
18.178, 47.932, nan
17.35, 48.651, nan
17.29, 49.374, nan
17.221, 50.06, nan
17.153, 50.725, nan
17.084, 51.379, nan
16.326, 51.947, nan
17.015, 52.033, nan
7.162, 56.986, nan
6.429, 57.662, nan
6.04, 57.973, nan
5.635, 58.264, nan
