 X,    Y,   CNA  
    0.89900E+01,    0.43740E+02,    0.65627E+08
    0.92500E+01,    0.43600E+02,    0.72093E+08
    0.65800E+01,    0.39720E+02,    0.86206E+08
    0.73300E+01,    0.39820E+02,    0.86702E+08
    0.79200E+01,    0.39930E+02,    0.88645E+08
    0.59300E+01,    0.39690E+02,    0.87930E+08
    0.45800E+01,    0.39850E+02,    0.11807E+09
    0.99700E+01,    0.45490E+02,    0.77484E+08
    0.35500E+01,    0.39610E+02,    0.17172E+09
    0.31000E+01,    0.39530E+02,    0.20529E+09
    0.21900E+01,    0.39330E+02,    0.25522E+09
    0.17500E+01,    0.39220E+02,    0.26827E+09
    0.54300E+01,    0.37590E+02,    0.88145E+08
    0.89900E+01,    0.38180E+02,    0.96696E+08
    0.78000E+01,    0.37960E+02,    0.92198E+08
    0.67400E+01,    0.37630E+02,    0.89214E+08
    0.88600E+01,    0.36880E+02,    0.95133E+08
    0.79400E+01,    0.36980E+02,    0.92268E+08
    0.96400E+01,    0.38820E+02,    0.98921E+08
    0.40700E+01,    0.37660E+02,    0.95112E+08
    0.29300E+01,    0.37760E+02,    0.11349E+09
    0.11480E+02,    0.40330E+02,    0.10488E+09
    0.12450E+02,    0.40260E+02,    0.10534E+09
    0.11120E+02,    0.44380E+02,    0.98929E+08
    0.11760E+02,    0.44340E+02,    0.10336E+09
    0.12400E+02,    0.44310E+02,    0.10502E+09
    0.12990E+02,    0.44260E+02,    0.10519E+09
    0.11230E+02,    0.46270E+02,    0.98684E+08
    0.11870E+02,    0.46170E+02,    0.10177E+09
    0.12490E+02,    0.46100E+02,    0.10236E+09
    0.13130E+02,    0.46060E+02,    0.10191E+09
    0.11400E+02,    0.47430E+02,    0.10027E+09
    0.11980E+02,    0.47340E+02,    0.10054E+09
    0.12560E+02,    0.47270E+02,    0.99849E+08
    0.13140E+02,    0.47230E+02,    0.99007E+08
    0.12040E+02,    0.47890E+02,    0.99574E+08
    0.12590E+02,    0.47820E+02,    0.98423E+08
    0.13150E+02,    0.47780E+02,    0.97458E+08
    0.11480E+02,    0.47970E+02,    0.10059E+09
    0.11920E+02,    0.46770E+02,    0.10121E+09
    0.12530E+02,    0.46700E+02,    0.10117E+09
    0.13140E+02,    0.46660E+02,    0.10047E+09
    0.11330E+02,    0.46860E+02,    0.99639E+08
    0.11790E+02,    0.44940E+02,    0.10280E+09
    0.11810E+02,    0.45560E+02,    0.10219E+09
