 X,    Y,   CH  
    0.96400E+01,    0.38820E+02,    0.55673E+02
    0.40700E+01,    0.37660E+02,    0.96398E+03
    0.29300E+01,    0.37760E+02,    0.17515E+04
    0.11480E+02,    0.40330E+02,    0.63140E+02
    0.12450E+02,    0.40260E+02,    0.63951E+02
    0.11120E+02,    0.44380E+02,    0.12279E+03
    0.11760E+02,    0.44340E+02,    0.11133E+03
    0.12400E+02,    0.44310E+02,    0.97364E+02
    0.12990E+02,    0.44260E+02,    0.84906E+02
    0.11230E+02,    0.46270E+02,    0.21532E+03
    0.11870E+02,    0.46170E+02,    0.16798E+03
    0.12490E+02,    0.46100E+02,    0.12818E+03
    0.13130E+02,    0.46060E+02,    0.98185E+02
    0.11400E+02,    0.47430E+02,    0.29350E+03
    0.11980E+02,    0.47340E+02,    0.21025E+03
    0.12560E+02,    0.47270E+02,    0.14828E+03
    0.13140E+02,    0.47230E+02,    0.10730E+03
    0.12040E+02,    0.47890E+02,    0.22644E+03
    0.12590E+02,    0.47820E+02,    0.15521E+03
    0.13150E+02,    0.47780E+02,    0.10941E+03
    0.11480E+02,    0.47970E+02,    0.32955E+03
    0.11920E+02,    0.46770E+02,    0.19033E+03
    0.12530E+02,    0.46700E+02,    0.13880E+03
    0.13140E+02,    0.46660E+02,    0.10309E+03
    0.11330E+02,    0.46860E+02,    0.25297E+03
    0.11790E+02,    0.44940E+02,    0.12712E+03
    0.11810E+02,    0.45560E+02,    0.14699E+03
    0.11130E+02,    0.45000E+02,    0.14613E+03
    0.11150E+02,    0.45640E+02,    0.17844E+03
    0.13060E+02,    0.44830E+02,    0.88603E+02
    0.12420E+02,    0.44890E+02,    0.10662E+03
    0.13100E+02,    0.45440E+02,    0.93332E+02
    0.12460E+02,    0.45490E+02,    0.11680E+03
    0.11570E+02,    0.41180E+02,    0.67802E+02
    0.11670E+02,    0.41960E+02,    0.74072E+02
    0.11830E+02,    0.42590E+02,    0.80347E+02
    0.11820E+02,    0.43180E+02,    0.88087E+02
    0.11780E+02,    0.43760E+02,    0.98447E+02
    0.11110E+02,    0.43760E+02,    0.10507E+03
    0.11180E+02,    0.43160E+02,    0.92022E+02
