"X","    Y","  V  ","Points:0","Points:1","Points:2"
0.03342,3.9343,0.35378,0.03342,3.9343,0
0.03342,3.8843,0.35229,0.03342,3.8843,0
0.625,9.75,0.97538,0.625,9.75,0
0.875,9.3146,0.93248,0.875,9.3146,0
0.5625,8.9396,0.89571,0.5625,8.9396,0
0.28125,8.7198,0.87425,0.28125,8.7198,0
1.5625,8.5687,0.85877,1.5625,8.5687,0
1.7656,9.6301,0.96343,1.7656,9.6301,0
4.375,7.2359,0.72447,4.375,7.2359,0
4,8.5323,0.85393,4,8.5323,0
4.6467,1.8553,0.1848,4.6467,1.8553,0
0.75,0.24999,0.024627,0.75,0.24999,0
0.25,0.74998,0.073769,0.25,0.74998,0
1.2592,0.77506,0.076442,1.2592,0.77506,0
0.90135,1.2428,0.12231,0.90135,1.2428,0
0.10026,3.9032,0.35334,0.10026,3.9032,0
0.03342,3.8343,0.35033,0.03342,3.8343,0
0.046026,3.7848,0.3481,0.046026,3.7848,0
0.029316,3.6176,0.33834,0.029316,3.6176,0
0.043974,3.5702,0.33518,0.043974,3.5702,0
0.22973,3.8733,0.35401,0.22973,3.8733,0
0.30674,3.8562,0.35467,0.30674,3.8562,0
0.24252,3.6731,0.3431,0.24252,3.6731,0
0.091691,3.3569,0.31934,0.091691,3.3569,0
0.091691,3.2819,0.31328,0.091691,3.2819,0
0.41791,3.5053,0.33274,0.41791,3.5053,0
0.55015,3.3917,0.32469,0.55015,3.3917,0
0.24202,3.4367,0.32612,0.24202,3.4367,0
0.10448,3.4263,0.32479,0.10448,3.4263,0
0.045846,3.2284,0.3088,0.045846,3.2284,0
0.045846,3.1784,0.3046,0.045846,3.1784,0
0.52139,4.1102,0.3745,0.52139,4.1102,0
0.65155,4.1134,0.3814,0.65155,4.1134,0
0.50853,3.823,0.35727,0.50853,3.823,0
0.046781,2.97,0.28648,0.046781,2.97,0
0.68188,4.1502,0.38546,0.68188,4.1502,0
0.84051,4.2388,0.40042,0.84051,4.2388,0
0.9339,3.5701,0.34431,0.9339,3.5701,0
0.062375,2.8267,0.27361,0.062375,2.8267,0
0.062375,2.7642,0.26791,0.062375,2.7642,0
0.031188,2.7258,0.26437,0.031188,2.7258,0
0.031188,2.6758,0.25976,0.031188,2.6758,0
0.031188,2.6258,0.25513,0.031188,2.6258,0
0.37425,3.0856,0.2973,0.37425,3.0856,0
0.76409,3.0593,0.29666,0.76409,3.0593,0
0.4199,2.2657,0.22139,0.4199,2.2657,0
1.5756,3.1406,0.30858,1.5756,3.1406,0
2.085,2.8246,0.27922,2.085,2.8246,0
0.47504,2.6029,0.25342,0.47504,2.6029,0
0.17933,2.7926,0.27058,0.17933,2.7926,0
0.33527,2.9533,0.2854,0.33527,2.9533,0
0.25311,2.6144,0.25421,0.25311,2.6144,0
0.2417,2.8756,0.27821,0.2417,2.8756,0
0.18323,2.8645,0.27713,0.18323,2.8645,0
0.15594,2.9919,0.28851,0.15594,2.9919,0
1.0305,2.6816,0.26222,1.0305,2.6816,0
